"term","estimate","std.error","statistic","p.value","coef.type"
"k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales",-0.12741245188511,0.103411906571956,-1.23208686609461,0.217916637025064,"location"
"k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae",-0.12741245188511,0.103411906571956,-1.23208686609461,0.217916637025064,"location"
"k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia",-0.12741245188511,0.103411906571956,-1.23208686609461,0.217916637025064,"location"
"k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia.s__Akkermansia_muciniphila",-0.12741245188511,0.103411906571956,-1.23208686609461,0.217916637025064,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Eisenbergiella.s__Eisenbergiella_massiliensis",-1.58425220139266,1.28798869176549,-1.2300202723217,0.218689513552767,"location"
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_vestibularis",-48.6135618231985,39.8157491221524,-1.22096313381056,0.222099978526704,"location"
"k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Siphoviridae.g__Siphoviridae_unclassified.s__Lactococcus_phage_bIL286",33.9302567744099,28.071324658328,1.2087159116071,0.226772006535659,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Anaerotignum",-5.3453677199852,4.46564658665211,-1.19699748205839,0.231307536171368,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Anaerotignum.s__Anaerotignum_lactatifermentans",-5.3453677199852,4.46564658665211,-1.19699748205839,0.231307536171368,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Eubacterium.s__Eubacterium_hallii",0.102691221683813,0.0868409179689154,1.18252114424413,0.236998980803476,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Flavonifractor.s__Flavonifractor_sp_An10",5.69271561821526,4.81532000701019,1.18220920103498,0.237122702677814,"location"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_caccae",0.560679325383172,0.477566310151749,1.17403450256994,0.240381206076657,"location"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides.s__Parabacteroides_merdae",0.149418457842248,0.127515114854184,1.17177056236126,0.241289184469273,"location"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_uniformis",-0.0818449522147925,0.0700721999743011,-1.16800888576082,0.242803180667391,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__Blautia_hydrogenotrophica",-2.45811926900171,2.10833902837621,-1.16590322330413,0.243653575627452,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Eisenbergiella",-1.48965432004374,1.28254430113149,-1.16148371540035,0.245445241865648,"location"
"k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Siphoviridae.g__C2virus",12.5209931160533,10.9124991569821,1.14739922871307,0.251216659830013,"location"
